"","Comparison","Taxa","Method","Group","P.unadj","P.adj","Significance"
"45","February - September","POLYISOPRENSYN-PWY","Wilcoxon Rank Sum Test","February",0.000857938669218788,0.00265763760177544,"**"
"46","February - September","PWY-7220","Wilcoxon Rank Sum Test","February",0.0120939768267807,0.0249756839449609,"*"
"47","February - September","PWY-7222","Wilcoxon Rank Sum Test","February",0.0120939768267807,0.0249756839449609,"*"
"48","February - September","PWY-5097","Wilcoxon Rank Sum Test","February",0.442833179742589,0.53758352225508,"ns"
"49","February - September","PWY-6125","Wilcoxon Rank Sum Test","September",0.513722581093694,0.60326028585948,"ns"
"50","February - September","PWY-6387","Wilcoxon Rank Sum Test","September",0.127687899662593,0.180166957900884,"ns"
"51","February - September","PWY-5130","Wilcoxon Rank Sum Test","September",0.000144222448704882,0.000621887198815453,"***"
"52","February - September","PWY-841","Wilcoxon Rank Sum Test","February",0.629725504001988,0.694114614840637,"ns"
"53","February - September","PWY-7221","Wilcoxon Rank Sum Test","September",0.0518646113611789,0.0857516120358141,"ns"
"54","February - September","ARO-PWY","Wilcoxon Rank Sum Test","February",0.0241842556420562,0.046389017050065,"*"
"55","February - September","PWY-5484","Wilcoxon Rank Sum Test","February",0.127687899662593,0.180166957900884,"ns"
"56","February - September","PEPTIDOGLYCANSYN-PWY","Wilcoxon Rank Sum Test","September",0.0518646113611789,0.0857516120358141,"ns"
"57","February - September","DAPLYSINESYN-PWY","Wilcoxon Rank Sum Test","September",0.0172711929341355,0.0346065910464647,"*"
"58","February - September","FAO-PWY","Wilcoxon Rank Sum Test","September",0.00231643440689073,0.0064358667284232,"**"
"59","February - September","PWY-6386","Wilcoxon Rank Sum Test","September",0.712535075639127,0.771197601946766,"ns"
"60","February - September","COLANSYN-PWY","Wilcoxon Rank Sum Test","February",0.0449019952990878,0.076832303067328,"ns"
"61","February - September","GLUCOSE1PMETAB-PWY","Wilcoxon Rank Sum Test","September",0.477575258232143,0.574582732560548,"ns"
"62","February - September","PWY0-162","Wilcoxon Rank Sum Test","September",1,1,"ns"
"63","February - September","PWY-6163","Wilcoxon Rank Sum Test","February",0.477575258232143,0.574582732560548,"ns"
"64","February - September","PWY-724","Wilcoxon Rank Sum Test","September",0.88738593483512,0.916285476774195,"ns"
"65","February - September","PWY-6628","Wilcoxon Rank Sum Test","February",0.000371280355127441,0.00135216291495737,"**"
"66","February - September","PWY-5189","Wilcoxon Rank Sum Test","September",0.442833179742589,0.53758352225508,"ns"
"67","February - September","PWY-6630","Wilcoxon Rank Sum Test","February",0.0241842556420562,0.046389017050065,"*"
"68","February - September","PWY-7208","Wilcoxon Rank Sum Test","September",0.88738593483512,0.916285476774195,"ns"
"69","February - September","GLUCONEO-PWY","Wilcoxon Rank Sum Test","February",0.00231643440689073,0.0064358667284232,"**"
"70","February - September","HISTSYN-PWY","Wilcoxon Rank Sum Test","September",2.95840920420272e-06,3.00864634163257e-05,"***"
"71","February - September","PWY-5384","Wilcoxon Rank Sum Test","September",0.000102804719846044,0.000494747714259089,"***"
"72","February - September","PWY-5188","Wilcoxon Rank Sum Test","February",0.113502327528441,0.163140678767546,"ns"
"73","February - September","PENTOSE-P-PWY","Wilcoxon Rank Sum Test","September",0.000201171825885785,0.000821451622366954,"***"
"74","February - September","SO4ASSIM-PWY","Wilcoxon Rank Sum Test","February",0.589875732021377,0.656907065205625,"ns"
"75","February - September","PWY-5345","Wilcoxon Rank Sum Test","February",1,1,"ns"
"76","February - September","PWY1ZNC-1","Wilcoxon Rank Sum Test","February",0.755284828242158,0.809340998851934,"ns"
"77","February - September","GLUTORN-PWY","Wilcoxon Rank Sum Test","February",0.589875732021377,0.656907065205625,"ns"
"78","February - September","PWY-7345","Wilcoxon Rank Sum Test","September",1.40524437199629e-05,9.71059892956411e-05,"***"
"79","February - September","COA-PWY","Wilcoxon Rank Sum Test","February",0.000201171825885785,0.000821451622366954,"***"
"80","February - September","PWY-6353","Wilcoxon Rank Sum Test","September",1.40524437199629e-05,9.71059892956411e-05,"***"
"81","February - September","COA-PWY-1","Wilcoxon Rank Sum Test","February",0.00829316060168126,0.0181707868467732,"*"
"82","February - September","PWY-6823","Wilcoxon Rank Sum Test","September",0.00829316060168126,0.0181707868467732,"*"
"83","February - September","PWY-7851","Wilcoxon Rank Sum Test","February",0.00111458066768337,0.0033561954183315,"**"
"84","February - September","ANAGLYCOLYSIS-PWY","Wilcoxon Rank Sum Test","September",4.95533541703955e-05,0.000264448097998447,"***"
"85","February - September","PWY-6124","Wilcoxon Rank Sum Test","February",0.00111458066768337,0.0033561954183315,"**"
"86","February - September","RIBOSYN2-PWY","Wilcoxon Rank Sum Test","September",0.551167166391288,0.632083197201924,"ns"
"87","February - September","PWY-6123","Wilcoxon Rank Sum Test","February",0.589875732021377,0.656907065205625,"ns"
"88","February - September","PWY-5154","Wilcoxon Rank Sum Test","September",0.0780243447493414,0.120157490913986,"ns"
"89","February - September","PWY-7323","Wilcoxon Rank Sum Test","February",0.0449019952990878,0.076832303067328,"ns"
"90","February - September","FOLSYN-PWY","Wilcoxon Rank Sum Test","February",0.00231643440689073,0.0064358667284232,"**"
"91","February - September","PPGPPMET-PWY","Wilcoxon Rank Sum Test","September",8.87522761260815e-06,7.1399219152176e-05,"***"
"92","February - September","ARGSYNBSUB-PWY","Wilcoxon Rank Sum Test","February",0.977402191293698,0.990262746442299,"ns"
"93","February - September","ARGSYN-PWY","Wilcoxon Rank Sum Test","September",0.127687899662593,0.180166957900884,"ns"
"94","February - September","TRNA-CHARGING-PWY","Wilcoxon Rank Sum Test","February",7.39602301050679e-07,1.37464013884937e-05,"***"
"95","February - September","PANTO-PWY","Wilcoxon Rank Sum Test","February",0.0683614406861143,0.107112838749464,"ns"
"96","February - September","P23-PWY","Wilcoxon Rank Sum Test","February",3.32821035472805e-05,0.000188832145389308,"***"
"97","February - September","GLYCOGENSYNTH-PWY","Wilcoxon Rank Sum Test","February",0.589875732021377,0.656907065205625,"ns"
"98","February - September","PWY-6612","Wilcoxon Rank Sum Test","February",0.0518646113611789,0.0857516120358141,"ns"
"99","February - September","PWY-7234","Wilcoxon Rank Sum Test","September",0.00829316060168126,0.0181707868467732,"*"
"100","February - September","PWY-5989","Wilcoxon Rank Sum Test","February",0.000144222448704882,0.000621887198815453,"***"
"101","February - September","PWY-3841","Wilcoxon Rank Sum Test","February",0.00111458066768337,0.0033561954183315,"**"
"102","February - September","OANTIGEN-PWY","Wilcoxon Rank Sum Test","September",0.113502327528441,0.163140678767546,"ns"
"103","February - September","PWY-7400","Wilcoxon Rank Sum Test","September",0.589875732021377,0.656907065205625,"ns"
"104","February - September","PWY-6700","Wilcoxon Rank Sum Test","February",7.39602301050679e-07,1.37464013884937e-05,"***"
"105","February - September","PWY-821","Wilcoxon Rank Sum Test","February",0.513722581093694,0.60326028585948,"ns"
"106","February - September","PWY-6609","Wilcoxon Rank Sum Test","September",0.0144925070890881,0.0294772125321451,"*"
"107","February - September","PWY-7117","Wilcoxon Rank Sum Test","September",0.0387211388692073,0.0682048818643879,"ns"
"108","February - September","PWY-5121","Wilcoxon Rank Sum Test","September",0.000656027241031952,0.00216931707310566,"**"
"109","February - September","PWY-6606","Wilcoxon Rank Sum Test","September",0.00829316060168126,0.0181707868467732,"*"
"110","February - September","PWY-6608","Wilcoxon Rank Sum Test","September",0.00829316060168126,0.0181707868467732,"*"
"111","February - September","HSERMETANA-PWY","Wilcoxon Rank Sum Test","September",0.88738593483512,0.916285476774195,"ns"
"112","February - September","1CMET2-PWY","Wilcoxon Rank Sum Test","February",2.95840920420272e-06,3.00864634163257e-05,"***"
"113","February - September","NONMEVIPP-PWY","Wilcoxon Rank Sum Test","September",1.40524437199629e-05,9.71059892956411e-05,"***"
"114","February - September","PWY-7560","Wilcoxon Rank Sum Test","September",1.40524437199629e-05,9.71059892956411e-05,"***"
"115","February - September","ARGININE-SYN4-PWY","Wilcoxon Rank Sum Test","September",0.755284828242158,0.809340998851934,"ns"
"116","February - September","PWY-622","Wilcoxon Rank Sum Test","September",0.0100445388505693,0.0213992349425172,"*"
"117","February - September","UDPNAGSYN-PWY","Wilcoxon Rank Sum Test","September",0.755284828242158,0.809340998851934,"ns"
"118","February - September","PWY-5918","Wilcoxon Rank Sum Test","February",0.0683614406861143,0.107112838749464,"ns"
"119","February - September","PWY0-1296","Wilcoxon Rank Sum Test","September",0.00111458066768337,0.0033561954183315,"**"
"120","February - September","PANTOSYN-PWY","Wilcoxon Rank Sum Test","February",0.000857938669218788,0.00265763760177544,"**"
"121","February - September","FERMENTATION-PWY","Wilcoxon Rank Sum Test","September",0.00555959049699795,0.013085673702541,"*"
"122","February - September","PWY-7392","Wilcoxon Rank Sum Test","September",7.39602301050679e-07,1.37464013884937e-05,"***"
"123","February - September","PWY-7357","Wilcoxon Rank Sum Test","September",1.40524437199629e-05,9.71059892956411e-05,"***"
"124","February - September","PWY-5855","Wilcoxon Rank Sum Test","September",0.00291403306613968,0.00758774793550379,"**"
"125","February - September","PWY-6270","Wilcoxon Rank Sum Test","September",7.39602301050679e-07,1.37464013884937e-05,"***"
"126","February - September","PYRIDNUCSYN-PWY","Wilcoxon Rank Sum Test","September",0.842835990231333,0.883829958627798,"ns"
"127","February - September","PWY-702","Wilcoxon Rank Sum Test","February",0.0120939768267807,0.0249756839449609,"*"
"128","February - September","P4-PWY","Wilcoxon Rank Sum Test","September",7.39602301050679e-07,1.37464013884937e-05,"***"
"129","February - September","PWY-6897","Wilcoxon Rank Sum Test","September",0.670659532955939,0.730273713663133,"ns"
"130","February - September","PWY-6901","Wilcoxon Rank Sum Test","September",0.00231643440689073,0.0064358667284232,"**"
"131","February - September","PWY0-781","Wilcoxon Rank Sum Test","September",7.39602301050679e-07,1.37464013884937e-05,"***"
"132","February - September","GLYCOLYSIS-E-D","Wilcoxon Rank Sum Test","September",0.00143260965713517,0.00419661198476008,"**"
"133","February - September","PWY-5505","Wilcoxon Rank Sum Test","February",0.127687899662593,0.180166957900884,"ns"
"134","February - September","PWY-6859","Wilcoxon Rank Sum Test","September",0.0387211388692073,0.0682048818643879,"ns"
"135","February - September","PWY66-409","Wilcoxon Rank Sum Test","September",0.00291403306613968,0.00758774793550379,"**"
"136","February - September","PWY-6703","Wilcoxon Rank Sum Test","February",1.47920460210136e-06,2.15484129873684e-05,"***"
"137","February - September","PWY-6292","Wilcoxon Rank Sum Test","February",0.977402191293698,0.990262746442299,"ns"
"138","February - September","PWY-241","Wilcoxon Rank Sum Test","September",0.000201171825885785,0.000821451622366954,"***"
"139","February - September","PWY0-1479","Wilcoxon Rank Sum Test","September",0.000371280355127441,0.00135216291495737,"**"
"140","February - September","PWY-7238","Wilcoxon Rank Sum Test","September",0.0596570612050488,0.0956998690164325,"ns"
"141","February - September","HEME-BIOSYNTHESIS-II","Wilcoxon Rank Sum Test","February",0.100530442770314,0.148862386409887,"ns"
"142","February - September","HEME-BIOSYNTHESIS-II-1","Wilcoxon Rank Sum Test","February",0.100530442770314,0.148862386409887,"ns"
"143","February - September","PWY-6317","Wilcoxon Rank Sum Test","September",0.197808114620606,0.26992043995065,"ns"
"144","February - September","PWY0-1261","Wilcoxon Rank Sum Test","February",0.000495533541703955,0.00172317792889311,"**"
"145","February - September","PWY-7761","Wilcoxon Rank Sum Test","September",0.798745338656498,0.845822667064543,"ns"
"146","February - September","PWY-7237","Wilcoxon Rank Sum Test","September",7.39602301050679e-07,1.37464013884937e-05,"***"
"147","February - September","PWY-5920","Wilcoxon Rank Sum Test","September",3.32821035472805e-05,0.000188832145389308,"***"
"148","February - September","PWY-6467","Wilcoxon Rank Sum Test","February",2.95840920420272e-06,3.00864634163257e-05,"***"
"149","February - September","PWY-6293","Wilcoxon Rank Sum Test","February",0.589875732021377,0.656907065205625,"ns"
"150","February - September","THISYNARA-PWY","Wilcoxon Rank Sum Test","February",0.0284206976224744,0.0543218298528855,"ns"
"151","February - September","PWY-5347","Wilcoxon Rank Sum Test","September",7.39602301050679e-07,1.37464013884937e-05,"***"
"152","February - September","PWY-7118","Wilcoxon Rank Sum Test","September",0.00555959049699795,0.013085673702541,"*"
"153","February - September","PWY-6168","Wilcoxon Rank Sum Test","February",4.95533541703955e-05,0.000264448097998447,"***"
"154","February - September","PWY-7883","Wilcoxon Rank Sum Test","February",1.47920460210136e-06,2.15484129873684e-05,"***"
"155","February - September","NAGLIPASYN-PWY","Wilcoxon Rank Sum Test","February",1.47920460210136e-06,2.15484129873684e-05,"***"
"156","February - September","PWY-8073","Wilcoxon Rank Sum Test","February",1.47920460210136e-06,2.15484129873684e-05,"***"
"157","February - September","PWY-6607","Wilcoxon Rank Sum Test","September",0.0387211388692073,0.0682048818643879,"ns"
"158","February - September","PWY-5838","Wilcoxon Rank Sum Test","September",0.589875732021377,0.656907065205625,"ns"
"159","February - September","PWY-801","Wilcoxon Rank Sum Test","February",0.442833179742589,0.53758352225508,"ns"
"160","February - September","PWY-8004","Wilcoxon Rank Sum Test","September",7.17414232019159e-05,0.000358042843572524,"***"
"161","February - September","PWY0-862","Wilcoxon Rank Sum Test","February",0.842835990231333,0.883829958627798,"ns"
"162","February - September","PWY0-1061","Wilcoxon Rank Sum Test","February",2.95840920420272e-06,3.00864634163257e-05,"***"
"163","February - September","PWY-5897","Wilcoxon Rank Sum Test","September",0.409510398068751,0.502792948881678,"ns"
"164","February - September","PWY-5898","Wilcoxon Rank Sum Test","September",0.409510398068751,0.502792948881678,"ns"
"165","February - September","PWY-5899","Wilcoxon Rank Sum Test","September",0.409510398068751,0.502792948881678,"ns"
"166","February - September","METSYN-PWY","Wilcoxon Rank Sum Test","September",7.39602301050679e-07,1.37464013884937e-05,"***"
"167","February - September","PYRIDOXSYN-PWY","Wilcoxon Rank Sum Test","September",0.712535075639127,0.771197601946766,"ns"
"168","February - September","PWY3O-4107","Wilcoxon Rank Sum Test","September",1.47920460210136e-06,2.15484129873684e-05,"***"
"169","February - September","PWY-5840","Wilcoxon Rank Sum Test","September",0.347357918699957,0.442614463780796,"ns"
"170","February - September","MET-SAM-PWY","Wilcoxon Rank Sum Test","September",7.39602301050679e-07,1.37464013884937e-05,"***"
"171","February - September","PWY-1269","Wilcoxon Rank Sum Test","February",2.95840920420272e-06,3.00864634163257e-05,"***"
"172","February - September","CITRULBIO-PWY","Wilcoxon Rank Sum Test","September",0.00291403306613968,0.00758774793550379,"**"
"173","February - September","PWY-5723","Wilcoxon Rank Sum Test","February",0.113502327528441,0.163140678767546,"ns"
"174","February - September","PWY-6595","Wilcoxon Rank Sum Test","September",0.0387211388692073,0.0682048818643879,"ns"
"175","February - September","HISDEG-PWY","Wilcoxon Rank Sum Test","February",0.88738593483512,0.916285476774195,"ns"
"176","February - September","PWY-6936","Wilcoxon Rank Sum Test","September",0.000857938669218788,0.00265763760177544,"**"
"177","February - September","PWY-181","Wilcoxon Rank Sum Test","February",0.00555959049699795,0.013085673702541,"*"
"178","February - September","PWY-5845","Wilcoxon Rank Sum Test","September",0.551167166391288,0.632083197201924,"ns"
"179","February - September","PWY-5850","Wilcoxon Rank Sum Test","September",0.551167166391288,0.632083197201924,"ns"
"180","February - September","PWY-5896","Wilcoxon Rank Sum Test","September",0.551167166391288,0.632083197201924,"ns"
"181","February - September","PWY-8187","Wilcoxon Rank Sum Test","September",0.0332414254207228,0.0619969837431473,"ns"
"182","February - September","PWY-1622","Wilcoxon Rank Sum Test","September",2.95840920420272e-06,3.00864634163257e-05,"***"
"183","February - September","PWY-7115","Wilcoxon Rank Sum Test","February",0.000102804719846044,0.000494747714259089,"***"
"184","February - September","PWY66-399","Wilcoxon Rank Sum Test","February",0.100530442770314,0.148862386409887,"ns"
"185","February - September","PYRIDNUCSAL-PWY","Wilcoxon Rank Sum Test","September",2.95840920420272e-06,3.00864634163257e-05,"***"
"186","February - September","PWY-6313","Wilcoxon Rank Sum Test","September",0.842835990231333,0.883829958627798,"ns"
"187","February - September","ANAEROFRUCAT-PWY","Wilcoxon Rank Sum Test","September",0.000274392453689802,0.00106401102545902,"**"
"188","February - September","PWY-5861","Wilcoxon Rank Sum Test","September",0.318585170382182,0.410807193387551,"ns"
"189","February - September","P221-PWY","Wilcoxon Rank Sum Test","September",0.0172711929341355,0.0346065910464647,"*"
"190","February - September","PWY-8011","Wilcoxon Rank Sum Test","September",0.000495533541703955,0.00172317792889311,"**"
"191","February - September","ARG+POLYAMINE-SYN","Wilcoxon Rank Sum Test","September",0.0241842556420562,0.046389017050065,"*"
"192","February - September","PWY-6902","Wilcoxon Rank Sum Test","February",0.000495533541703955,0.00172317792889311,"**"
"193","February - September","PWY-561","Wilcoxon Rank Sum Test","September",7.39602301050679e-07,1.37464013884937e-05,"***"
"194","February - September","GLYOXYLATE-BYPASS","Wilcoxon Rank Sum Test","February",0.842835990231333,0.883829958627798,"ns"
"195","February - September","PWY-5022","Wilcoxon Rank Sum Test","September",0.000144222448704882,0.000621887198815453,"***"
"196","February - September","PWY-3661","Wilcoxon Rank Sum Test","September",0.0449019952990878,0.076832303067328,"ns"
"197","February - September","PWY0-1297","Wilcoxon Rank Sum Test","September",7.39602301050679e-07,1.37464013884937e-05,"***"
"198","February - September","PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY","Wilcoxon Rank Sum Test","September",1.47920460210136e-06,2.15484129873684e-05,"***"
"199","February - September","PWY-4984","Wilcoxon Rank Sum Test","September",0.0449019952990878,0.076832303067328,"ns"
"200","February - September","PWY-5860","Wilcoxon Rank Sum Test","September",0.513722581093694,0.60326028585948,"ns"
"201","February - September","PWY-5862","Wilcoxon Rank Sum Test","September",0.513722581093694,0.60326028585948,"ns"
"202","February - September","HOMOSER-METSYN-PWY","Wilcoxon Rank Sum Test","September",7.39602301050679e-07,1.37464013884937e-05,"***"
"203","February - September","P164-PWY","Wilcoxon Rank Sum Test","February",0.113502327528441,0.163140678767546,"ns"
"204","February - September","PWY-7159","Wilcoxon Rank Sum Test","September",0.0100445388505693,0.0213992349425172,"*"
"205","February - September","PWY-6731","Wilcoxon Rank Sum Test","September",0.798745338656498,0.845822667064543,"ns"
"206","February - September","GLYCOCAT-PWY","Wilcoxon Rank Sum Test","September",1.47920460210136e-06,2.15484129873684e-05,"***"
"207","February - September","PWY-6305","Wilcoxon Rank Sum Test","September",0.218920801906399,0.296478171426003,"ns"
"208","February - September","COBALSYN-PWY","Wilcoxon Rank Sum Test","September",7.17414232019159e-05,0.000358042843572524,"***"
"209","February - September","PWY-5837","Wilcoxon Rank Sum Test","September",0.197808114620606,0.26992043995065,"ns"
"210","February - September","PWY-6307","Wilcoxon Rank Sum Test","September",0.100530442770314,0.148862386409887,"ns"
"211","February - September","PWY-5028","Wilcoxon Rank Sum Test","September",0.000144222448704882,0.000621887198815453,"***"
"212","February - September","PWY66-391","Wilcoxon Rank Sum Test","September",8.87522761260815e-06,7.1399219152176e-05,"***"
"213","February - September","PWY-6922","Wilcoxon Rank Sum Test","September",0.00291403306613968,0.00758774793550379,"**"
"214","February - September","PWY-6527","Wilcoxon Rank Sum Test","September",0.477575258232143,0.574582732560548,"ns"
"215","February - September","PWY-5138","Wilcoxon Rank Sum Test","September",0.798745338656498,0.845822667064543,"ns"
"216","February - September","PWY-6269","Wilcoxon Rank Sum Test","September",1.40524437199629e-05,9.71059892956411e-05,"***"
"217","February - September","PWY-7431","Wilcoxon Rank Sum Test","September",0.842835990231333,0.883829958627798,"ns"
"218","February - September","PWY490-3","Wilcoxon Rank Sum Test","September",0.000144222448704882,0.000621887198815453,"***"
"219","February - September","PWY-7383","Wilcoxon Rank Sum Test","February",8.87522761260815e-06,7.1399219152176e-05,"***"
"220","February - September","PWY-7328","Wilcoxon Rank Sum Test","September",2.21880690315204e-05,0.000140698461270464,"***"
"221","February - September","PWY0-1241","Wilcoxon Rank Sum Test","February",5.17721610735475e-06,4.89564821379686e-05,"***"
"222","February - September","PWY-5367","Wilcoxon Rank Sum Test","September",0.00291403306613968,0.00758774793550379,"**"
"223","February - September","PWY-7858","Wilcoxon Rank Sum Test","September",4.95533541703955e-05,0.000264448097998447,"***"
"224","February - September","PWY-6895","Wilcoxon Rank Sum Test","February",0.000857938669218788,0.00265763760177544,"**"
"225","February - September","POLYAMSYN-PWY","Wilcoxon Rank Sum Test","September",0.0449019952990878,0.076832303067328,"ns"
"226","February - September","POLYAMINSYN3-PWY","Wilcoxon Rank Sum Test","September",0.0596570612050488,0.0956998690164325,"ns"
"227","February - September","PWY-7854","Wilcoxon Rank Sum Test","September",2.95840920420272e-06,3.00864634163257e-05,"***"
"228","February - September","PWY-I9","Wilcoxon Rank Sum Test","February",0.551167166391288,0.632083197201924,"ns"
"229","February - September","PWY-7900","Wilcoxon Rank Sum Test","September",7.39602301050679e-07,1.37464013884937e-05,"***"
"230","February - September","PWY-5030","Wilcoxon Rank Sum Test","February",0.0518646113611789,0.0857516120358141,"ns"
"231","February - September","DENOVOPURINE2-PWY","Wilcoxon Rank Sum Test","February",3.32821035472805e-05,0.000188832145389308,"***"
"232","February - September","TYRFUMCAT-PWY","Wilcoxon Rank Sum Test","February",0.113502327528441,0.163140678767546,"ns"
"233","February - September","PWY-7992","Wilcoxon Rank Sum Test","February",7.39602301050679e-07,1.37464013884937e-05,"***"
"234","February - September","PWY-5497","Wilcoxon Rank Sum Test","February",0.000656027241031952,0.00216931707310566,"**"
"235","February - September","PWY-5873","Wilcoxon Rank Sum Test","September",0.105955750650126,0.156038660110431,"ns"
"236","February - September","PWY-7294","Wilcoxon Rank Sum Test","September",0.0101766817515518,0.0215953994649072,"*"
"237","February - September","PWY-7356","Wilcoxon Rank Sum Test","September",0.00182977609279938,0.00524600698946205,"**"
"238","February - September","NADSYN-PWY","Wilcoxon Rank Sum Test","February",0.020489202546007,0.0400133339576006,"*"
"239","February - September","PWY-7282","Wilcoxon Rank Sum Test","September",7.39602301050679e-07,1.37464013884937e-05,"***"
"240","February - September","CHLOROPHYLL-SYN","Wilcoxon Rank Sum Test","September",0.0449019952990878,0.076832303067328,"ns"
"241","February - September","P101-PWY","Wilcoxon Rank Sum Test","September",8.87522761260815e-06,7.1399219152176e-05,"***"
"242","February - September","URSIN-PWY","Wilcoxon Rank Sum Test","September",7.39602301050679e-07,1.37464013884937e-05,"***"
"243","February - September","PWY-6151","Wilcoxon Rank Sum Test","February",0.670659532955939,0.730273713663133,"ns"
"244","February - September","PWY0-1533","Wilcoxon Rank Sum Test","February",0.977402191293698,0.990262746442299,"ns"
"245","February - September","P125-PWY","Wilcoxon Rank Sum Test","September",0.00829316060168126,0.0181707868467732,"*"
"246","February - September","PWY-7052","Wilcoxon Rank Sum Test","September",0.127687899662593,0.180166957900884,"ns"
